MES,Vc,OIc,Vp,OIp,ΔNet GEX,P+GEX,C+GEX,GEX_point,ΔGEX(f),P_reject
5646.0,34,6150,7901,7007,0.0,87.44842592986258,64.20132125595217,-23.247104673910414,0.0,
5651.0,11,141,1232,81,158.94078800229747,34.80079033036407,31.676127770878267,-3.124662559485806,6.650647240263271e-05,0.22343920994295235
5656.0,22,19,6051,180,-44.92369073124679,49.156006151328484,30.603768782597403,-18.55223736873108,-0.000143906222073447,0.22449050801717624
5661.0,7,31,2308,224,-10.626771066586187,37.69701198575053,30.085159926193995,-7.611852059556533,-0.0001804063375410182,0.22711386557031066
5666.0,28,41,5239,209,2.107185073342329,45.84775464600023,29.70440823140221,-16.143346414598025,-0.00016064239795102308,0.23144723555175833
5671.0,7,70,4714,515,-79.70412863124085,44.429571593907305,28.492636997737005,-15.9369345961703,-0.00043469302167665976,0.23000636701073646
5676.0,135,254,3432,475,55.86040341739924,40.02812253945005,29.40751396388279,-10.620608575567264,-0.0001323976120670676,0.2312202211270711
5681.0,48,56,5618,229,9.834280124144527,44.88322032681842,27.649218569160215,-17.234001757658202,-0.00015411336289081564,0.23089693126617306
5686.0,286,264,3860,179,85.94118015600391,40.02049502305757,29.96679513729825,-10.053699885759322,0.000197776150517072,0.2312881908987689
5691.0,82,105,2363,194,-63.65195265027723,35.473831344553574,28.429008531372002,-7.044822813181572,-5.608286356282227e-05,0.2312946622350432
5696.0,515,640,11273,1812,-445.40231683292893,67.14821464987018,29.888255559826913,-37.25995909004327,-0.0008306418027306154,0.2324664452123634
5701.0,30,72,2999,329,366.45474312500096,34.95139317054343,25.065165381331013,-9.88622778921242,-0.00017759320092656407,0.23167522736063112
5706.0,255,102,3604,264,36.79724273196635,36.199900156646194,25.544227136228496,-10.655673020417698,-7.890962105896774e-05,0.23283318638929873
5711.0,58,99,2488,166,42.49230767228526,32.42024211093732,25.045699109332926,-7.374543001604398,1.2675767903200603e-06,0.2318355474161469
5716.0,330,80,2911,204,-32.154126971304926,33.67458652429714,25.42970545343182,-8.244881070865322,-6.063717592819337e-05,0.2343043772141966
5721.0,395,124,2938,215,14.843173086304049,33.799837401135264,25.82186120452189,-7.977976196613373,-2.4547399254513875e-06,0.23400019464206961
5726.0,633,244,3220,230,58.95372849239915,35.21272036523403,27.56490560987302,-7.647814755361008,0.0001660757103570677,0.23371597808726213
5731.0,717,43,3218,180,-91.97336206931742,34.665479632503796,26.376524523599855,-8.288955108903941,-9.990478500783137e-05,0.24072935208915788
5736.0,1153,159,5239,325,-21.693013582019162,41.21007145886161,27.930744801278852,-13.27932665758276,-5.021197358421615e-05,0.23649582651312775
5741.0,1052,119,3013,149,85.80842843141697,33.90197647876668,27.60976173792001,-6.292214740846667,4.8063725337528325e-05,0.23665138472739478
5746.0,3110,290,8722,1963,-1104.271672710583,56.26181061896674,30.361518684672706,-25.900291934294035,-0.001074063722604261,0.25525902952541385
5751.0,2195,185,3289,139,1155.4023855886592,31.892932491757254,28.00726660865041,-3.8856658831068422,0.0001564428821297032,0.23788015873580504
5756.0,2148,159,3698,222,-75.04876254195698,33.696714247166845,27.942557863624156,-5.754156383542689,6.354416196870044e-05,0.24098025715859245
5761.0,2730,158,4858,166,38.02675733265842,37.158752420830304,29.655377527341074,-7.50337489348923,9.3126941540627e-05,0.23924734700808054
5766.0,3316,246,7175,309,-37.9325049400898,45.040923878346774,31.895041796542923,-13.145882081803851,0.00010404539426633644,0.23947807375631439
5771.0,3246,1174,4069,780,311.4567970661233,40.36138749764908,39.071019322124975,-1.290368175524108,0.0007598699176584794,0.23929531561716647
5776.0,5003,222,9740,200,-253.37661966906936,54.71834628191646,38.50251375936759,-16.215832522548872,8.983875264583605e-05,0.23897534170509305
5781.0,3096,335,5896,110,129.69883449171314,43.538364301253715,35.08310443601783,-8.455259865235888,0.0002214934208914909,0.23651290911513276
5786.0,8050,1200,9012,256,434.9912631446588,55.74783298276776,54.263232436178136,-1.4846005465896255,0.0007436767583762373,0.23693597855903578
5791.0,6779,241,1365,115,-505.99758273255526,32.651276972930205,46.211683406382754,13.560406433452549,9.842410366669634e-05,0.25735915733980846
5796.0,8008,885,2596,689,33.75454080862983,39.65414423811553,53.352757255327425,13.698613017211898,0.0002003916006860941,0.25812362566013125
5801.0,3611,354,1310,137,3.2824732292583008,33.56768126633293,39.98452062228581,6.416839355952874,0.00012123562981669732,0.24576037107506007
5806.0,5934,407,6407,270,-46.01292957407672,49.60104132174587,46.257958320135565,-3.343083001610303,8.3706328238534e-05,0.24181109924672492
5811.0,3828,387,700,174,27.338422525402336,32.476721076838714,41.24447774705254,8.767756670213828,9.613709866329831e-05,0.2595061122983521
5816.0,5883,475,5727,169,28.242457273988492,47.74261648583781,47.145678178591595,-0.5969383072462122,0.00011627186844833008,0.23984673689235936
5821.0,4404,690,691,236,41.20322415384602,33.549605182955005,45.11693716681128,11.567331983856278,0.00014894759926173273,0.2568570717845237
5826.0,5254,485,1576,210,-73.17066004778079,36.299155944321576,46.3434475435162,10.044291599194622,8.044855823180486e-05,0.2501014315466278
5831.0,4029,325,184,48,-8.471114198895407,31.59166584284527,42.652461168898306,11.060795326053036,6.643064968808008e-05,0.2670677293223755
5836.0,5715,580,406,73,50.31897611740817,32.6921205529619,48.52030533147081,15.828184778508906,0.00010608645641167819,0.2530280005288229
5841.0,3439,768,69,35,36.88434584406187,31.909025167633015,44.32634857513293,12.417323407499918,0.00013180034641595224,0.25806599110656026
